id	rate
18151	72.4
18153	70.3
18155	70.9
18157	71.4
18159	72.8
18161	72.9
18163	69.9
18165	71
18167	70.9
18169	72.5
18171	71.4
18173	69.9
18175	71.6
18177	73
18179	73.2
18181	70.2
18183	72.8
19001	66.6
19003	66.3
19005	73.5
19007	67.3
19009	65.5
19011	68.7
19013	69.5
19015	66.9
19017	70.2
19019	70
19021	66.5
19023	69.3
19025	65.1
19027	65.1
19029	65.7
19031	69.6
19033	68.8
19035	67.2
19037	70.8
19039	67.6
19041	68.7
19043	72.8
19045	70.4
19047	65.4
19049	67.2
19051	67.3
19053	67.2
19055	71
19057	67.1
19059	69.3
19061	72
19063	69.2
19065	70.9
19067	70.5
19069	68.3
19071	64.5
19073	65.5
19075	68.6
19077	66.2
19079	66.1
19081	67.5
19083	68.1
19085	64.4
19087	67.6
19089	72.2
19091	65.8
19093	65.3
19095	68
19097	71
19099	67.2
19101	67.6
19103	68.2
19105	70.4
19107	68
19109	67.6
19111	66.9
19113	68.2
19115	68
