id	rate
29063	58.6
29065	60.3
29067	60.8
29069	63.9
29071	60
29073	59.7
29075	57.6
29077	60.3
29079	57.5
29081	57.4
29083	60.5
29085	60.9
29087	57.5
29089	59
29091	60.6
29093	60.1
29095	60.1
29097	61.7
29099	62.1
29101	59.9
29103	57.9
29105	60
29107	59.7
29109	60.7
29111	57.8
29113	59.2
29115	58.3
29117	58
29119	62.4
29121	57.1
29123	60.3
29125	59.7
29127	57.7
29129	57.6
29131	60.1
29133	62.3
29135	59.3
29137	58.5
29139	59.4
29141	60.3
29143	63.3
29145	61.6
29147	57.5
29149	62.2
29151	59.5
29153	62.8
29155	63.7
29157	60.6
29159	59.5
29161	60
29163	58.8
29165	59.5
29167	60.5
29169	60.4
29171	56.8
29173	58.5
29175	58.8
29177	59.3
29179	62.5
29181	62.7
29183	60.1
29185	60.3
29186	60.7
29187	60.2
29189	62.1
29195	59.6
29197	57.2
29199	57.2
29201	62.3
29203	60.8
29205	58.2
29207	62.3
29209	63.1
29211	57.3
29213	63.2
29215	60.4
29217	60.9
29219	59.7
29221	60.2
29223	62.5
29225	59.7
29227	57.6
29229	60
29510	62.1
30001	42.5
30003	50.6
30005	46.7
30007	44.4
30009	45.9
30011	48.1
30013	46.9
30015	52.4
30017	50.3
30019	44.8
30021	48.4
30023	40.9
30025	48.1
30027	44.9
30029	44.5
30031	43.9
30033	48.4
30035	44.1
30037	45.6
30039	40.1
30041	46.7
30043	43.3
30045	40.5
30047	46.2
30049	45.6
30051	46.7
30053	44.8
30055	46.6
30057	42.3
30059	43.4
30061	44.7
30063	46.2
30065	49.5
30067	43.4
30069	49.5
30071	46.9
30073	45.4
30075	49.6
30077	42
30079	48.4
30081	43.4
30083	47.6
30085	46.6
30087	49.6
30089	44.7
30091	44.8
30093	41.6
30095	47
30097	45.8
30099	45.1
30101	45.4
30103	50.5
30105	46.8
30107	45.2
30109	48.2
30111	50.1
31001	55.7
31003	54.6
31005	54
31007	52.5
31009	53.7
31011	54.2
31013	52.2
31015	54
31017	53.4
31019	55.2
31021	54.6
31023	55
31025	56.2
31027	53.7
31029	55.5
31031	52.9
31033	53.3
31035	55.4
31037	54.7
31039	55.3
31041	53.7
31043	53.9
31045	52.2
31047	54.9
31049	54
31051	53.7
31053	55.3
31055	56.2
31057	56.6
31059	56.8
31061	55.5
31063	54.6
31065	57.9
31067	57
31069	54
31071	54.1
31073	54.9
31075	52.2
31077	54.1
31079	55.5
31081	55.5
31083	55.8
31085	55.5
31087	56.6
31089	53.8
31091	53.9
31093	55.1
31095	57
31097	57.1
31099	55.5
31101	54
31103	53.4
31105	52.1
31107	53.7
31109	56.4
31111	53.9
31113	53.9
31115	54.1
31117	53.9
31119	54.4
31121	55.3
31123	53.4
31125	55.6
31127	57.5
31129	57.4
31131	56.8
31133	57.1
31135	54
31137	55.8
31139	54.2
31141	54.9
31143	54.9
31145	56.6
31147	57.8
31149	53.4
31151	56.6
31153	56
31155	55.6
31157	52.5
31159	56
31161	51.6
31163	54.9
31165	52.6
31167	53.8
31169	56.7
31171	53.4
31173	53.9
31175	54.1
31177	55.5
31179	53.7
31181	55.5
31183	54.1
31185	55.5
32001	55.5
32003	68.3
32005	49.1
32007	49.2
32009	53.1
32011	48.6
32013	52
32015	52.1
32017	53.7
32019	53.3
32021	53
32023	62.3
32027	54
32029	50.1
32031	52
32033	46.8
32510	49.9
33001	49
33003	47.7
33005	49.5
33007	44.6
33009	47.4
33011	52.3
33013	50.2
33015	51.7
33017	50.4
33019	48.4
34001	58.5
34003	58.5
34005	58.9
34007	59
34009	58.5
34011	58.2
34013	57.2
34015	58.4
34017	57.7
34019	55.7
34021	58.2
34023	57.2
34025	58.8
34027	54.4
34029	58.5
34031	58.3
34033	57.8
34035	55.9
34037	53.4
34039	57
34041	54.1
35001	58.5
35003	51.6
35005	63.8
35006	51.3
35007	52.2
35009	60.3
35011	58.6
35013	64.2
35015	66.4
35017	58
35019	58.6
35021	60.8
35023	62.5
35025	64.5
35027	54.7
35028	52.5
35029	62.9
35031	52.3
35033	52.9
35035	62.3
35037	60.8
35039	52.2
35041	60.3
35043	57.6
35045	54
35047	52.9
35049	54
35051	61.1
35053	58.6
35055	47.3
35057	53.2
35059	57.3
35061	58.2
36001	52.2
36003	48.5
36005	57.9
36007	50.4
36009	49.9
36011	51
36013	49.4
36015	50.3
36017	49.1
36019	48.7
36021	51.2
36023	48.7
36025	47.8
36027	53.3
36029	52.1
36031	48.5
36033	47.2
36035	49.6
36037	50.7
36039	50
36041	47.4
36043	49.1
36045	49.3
36047	58.3
36049	48.1
36051	50.8
36053	49.4
36055	52.1
36057	50
36059	58.1
36061	58.1
36063	52
36065	49.7
36067	51
36069	51.3
36071	52.4
36073	51.5
36075	51
36077	48.7
36079	53.8
36081	58.3
36083	52.1
36085	58.6
36087	55.6
36089	48.9
36091	51.5
36093	51.9
36095	49
36097	50.9
36099	51.3
36101	49.3
36103	57
36105	50.8
36107	50.2
36109	49.7
36111	53
36113	50
36115	49.6
36117	51.6
36119	57
36121	49.4
36123	50.8
37001	61.4
37003	61
37005	55.6
37007	65.1
37009	54.4
37011	53.2
37013	63.7
37015	63.5
37017	64.8
37019	66.6
37021	57.5
37023	60.7
37025	62.6
37027	60.7
37029	62.5
37031	66.4
37033	61.7
37035	61.5
37037	63.2
37039	59.2
37041	63.2
37043	57.6
37045	62.7
37047	64.8
37049	64.7
37051	64.6
37053	62.5
37055	64.3
37057	61.8
37059	61.7
37061	63.5
37063	63.2
37065	63
37067	62
37069	62.1
37071	63.6
37073	61.9
37075	57.6
37077	62.5
37079	63.3
37081	62.1
37083	62.1
37085	63.7
37087	55.4
37089	58.3
37091	62.6
37093	63.9
37095	63.8
37097	61.2
37099	56.3
37101	63.3
37103	64.6
37105	63.3
37107	63.6
37109	61.8
37111	59.1
37113	57.1
37115	56
37117	63.4
37119	63.7
37121	55.7
37123	63.2
37125	63.8
37127	62.3
37129	66.6
37131	62.1
37133	65.5
37135	62.7
37137	65.5
37139	62.5
37141	66
37143	62.7
37145	61
37147	63.2
37149	61.8
37151	61.9
37153	64.4
37155	64.3
37157	61.4
37159	61.8
37161	62.7
37163	64
37165	64.1
37167	62.4
37169	61.4
37171	60
37173	56.3
37175	57.7
37177	62.7
37179	63.2
37181	61.9
37183	63.3
37185	62.3
37187	63.5
37189	54.7
37191	63.4
37193	59.7
37195	62.8
37197	61
37199	55.2
38001	48.4
38003	46.8
38005	43.5
38007	47.7
38009	42.7
38011	48.7
38013	43.4
38015	47.2
38017	46.8
38019	42.8
38021	48.7
38023	43.4
38025	47.7
38027	45.2
38029	47.2
38031	45.8
38033	48.2
38035	44.8
38037	48.6
38039	45.8
38041	47.7
38043	45.8
38045	48.7
38047	46.1
38049	44.5
38051	48.7
38053	47
38055	45.5
38057	47.2
38059	47.1
38061	45.9
38063	44.8
38065	46.8
38067	44.2
38069	43.8
38071	43.5
38073	47.8
38075	44.3
38077	47.1
38079	42.4
38081	47.8
38083	45.6
38085	47.2
38087	48.7
38089	47.7
38091	46.4
38093	46.1
38095	43.4
38097	46.4
38099	45
38101	44.5
38103	45.6
38105	45.7
39001	57.9
39003	54.5
39005	52.9
39007	52.2
